requirements,opportunity_id,content_id,summary,category_description,title,display_url,recurrence_type,street_address,2nd_address,city,state,postcode,country,website,borough,latitude,longitude,location,community_board,council_district,census_tract,bin,bbl,nta
,Create Birthday Cards for the Elderly,"<p>DOROT’s greeting card project helps bring joy and celebration to over 200 seniors each month. With this program, we are able to reach and recognize many seniors that we might not otherwise be able to wish a happy birthday. Sometimes this card is the only recognition a senior receives on his or her birthday. Every card is designed and created by you, our volunteers. These donations are incredibly meaningful in the work we do and so important to the larger DOROT community. For more information on this project, go here: <a href=""http://www.dorotusa.org/makeacard"">http://www.dorotusa.org/makeacard</a></p> <p>Please read the instructions in Box 1 and click on “more tips” for additional instructions, including a list of other types of cards that we can accept. </p> <p>In Box 2, there are instructions on sending the cards to us. Please include the volunteer form.</p> <p>Please note - This is an opportunity that takes place in your own home, organization, or work place. It does not take place at DOROT's offices. However, we do occasionally offer group programs at DOROT that include the card making project. Call DOROT for more information.</p>","DOROT’s greeting card project helps bring joy and celebration to some of our frailest and most isolated seniors. Each month, DOROT mails over 250 birthday cards to seniors.",,DOROT,/opportunities/712,ongoing,171 West 85th Street,,New York,NY,10024,US,http://www.dorotusa.org/makeacard,MANHATTAN,40.7866,-73.9745,POINT(-73.974513 40.786591),107,6,169,1032139,1012160003,Upper West Side
<p>Volunteers must be 18 years of age or older.</p>,Children's Education Project with New York Cares,"<p>Help give kids a strong foundation for academic achievement. New York Cares' Children's Education projects help New York City's underserved children develop their academic skills at an early age, improving their chances of getting into college and preparing them for future success.</p> <p>Search our projects at www.newyorkcares.org/search/project Before you can volunteer on a New York Cares project, you must attend a one-hour orientation. After that, you can choose from hundreds of flexibly scheduled volunteer projects every month. Learn more about volunteering with New York Cares at www.newyorkcares.org.</p>","Help give kids a strong foundation for academic achievement. New York Cares' Children's Education projects help New York City's underserved children develop their academic skills at an early age, improving their chances of getting into college and preparing them for future success.",,New York Cares,/opportunities/783,ongoing,"65 Broadway, 19th Floor",,New York,NY,10001,US,http://www.newyorkcares.org,MANHATTAN,40.7071,-74.0122,POINT(-74.012234 40.707113),101,1,13,1000809,1000210004,Battery Park City-Lower Manhattan
"<p>There will be one day of required volunteer training on Saturday, September&nbsp;7, 2019. The program begins on&nbsp;Saturday, September&nbsp;14, 2019.</p> <p>Application required.</p>",Group Counselors,"<p>Counselors are needed to work with children and teens who have disabilities. In that capacity the counselors will assist the participants through their day of sports, games, and arts and crafts.</p>","Counselors are needed to work with children and teens who have disabilities. In that capacity the counselors will assist the participants through their day of sports, games, and arts and crafts.",,Project HAPPY,/opportunities/823,ongoing,425 East 25th Street,,New York,NY,10010,US,http://www.newyorkcares.org,MANHATTAN,40.7379,-73.9769,POINT(-73.97688 40.737878),106,4,62,1069579,1009620100,Murray Hill-Kips Bay
<p>No prior skills or knowledge required!</p> <p>&nbsp;</p>,COSTUME COLLECTIVE: Decorate Costumes for Sick & Disabled Children!,"<p><strong><em>Description </em></strong><br /> Only Make Believe (OMB) brings interactive theater to chronically ill children in hospitals and care facilities. Our program exists to supplement child life and recreational therapy programs with a quality, interactive shared theatrical experience to help alleviate stress and promote a child’s normal growth and development while in a hospital setting. Every Only Make Believe performance is interactive, meaning that the children dress up in costumes and participate as characters in the performance. Every costume for the children is decorated by OMB volunteers at Costume Collectives.</p> <p><strong>Only Make Believe can arrange a special Costume Collective volunteering opportunity for your employees in your office.</strong> At an event running approximately 1-2 hours, volunteers can join in the fun in a conference room set up with all the supplies and use their artistic, inventive, crafty skills (and Google searches!) to create one-of-a-kind costumes for our kids. Volunteers can work on one project for a few minutes or spend an hour on more elaborate projects. OMB arrives at your office with all the materials to decorate the costumes, we provide an explanation of the program and the activity, assistance and guidance as needed, and when completed, we clean up and collect all the finished costumes to take to the OMB kids.</p> <p><strong><em>Dates &amp; Time </em></strong><br /> Costume Collectives can be held on a date and time of your choosing, pending OMB’s availability. The activity works best when scheduled for 1-2 hours. OMB staff requires 30-45 minutes to set up and 15-30 minutes to clean up. For a recurring Costume Collective, OMB staff would be available as needed.</p> <p> </p>",We are looking for philanthropic-minded corporate partners to volunteer to make costumes for OMB kids to wear at the shows. Our children get involved in theatrical performances by wearing costumes (hats / necklaces) that volunteers decorate at in-office events.,,Only Make Believe,/opportunities/866,ongoing,121 W 27th Street,Ste 1002,New York,NY,10001,US,http://www.project-happy.org,MANHATTAN,40.7458,-73.9919,POINT(-73.991916 40.745831),105,3,95,1015067,1008030021,Midtown-Midtown South
"<p>There will be one day of required volunteer training on Saturday, September&nbsp; 7, 2019. The program begins on&nbsp;Saturday, September 14, 2019.</p> <p>Application required.</p>",Dance and Aerobics Volunteers,<p>Dance and aerobics volunteers are needed to assist in our dance program. Volunteers who have creative dance skills and would like to create dances with our participants are especially welcome.</p>,Dance and aerobics volunteers are needed to assist in our dance program. Volunteers who have creative dance skills and would like to create dances with our participants are especially welcome.,,Project HAPPY,/opportunities/900,ongoing,425 East 25th Street,,Manhattan,NY,10010,US,https://www.onlymakebelieve.org/,MANHATTAN,40.7379,-73.9769,POINT(-73.97688 40.737878),106,4,62,1069579,1009620100,Murray Hill-Kips Bay
<p>Volunteers must be 18 years of age or older.</p>,Environment and Revitalization Projects with New York Cares,"<p>New York Cares volunteers work year round to keep our city's public spaces well maintained for all New Yorkers to enjoy and make sure that donated clothes and materials are redistributed to those in need.</p> <p>Search our projects at www.newyorkcares.org/search/project Before you can volunteer on a New York Cares project, you must attend a one-hour orientation. After that, you can choose from hundreds of flexibly scheduled volunteer projects every month. Learn more about volunteering with New York Cares at www.newyorkcares.org.</p>",New York Cares volunteers work year round to keep our city's public spaces well maintained for all New Yorkers to enjoy and make sure that donated clothes and materials are redistributed to those in need.,,New York Cares,/opportunities/1139,ongoing,"65 Broadway, 19th Floor",,New York,NY,10006,US,http://www.project-happy.org,MANHATTAN,40.7071,-74.0122,POINT(-74.012234 40.707113),101,1,13,1000809,1000210004,Battery Park City-Lower Manhattan
<p>Volunteers meet with staff to undergo training and learn more about the programs and the needs of the seniors</p>,Host and Serve Dinner at DOROT's Homelessness Prevention Program,"<p>DOROT's Homelessness Prevention Program is a transitional residence in Manhattan that offers seniors safe, temporary housing; meals; counseling, and assistance in finding a permanent home. Volunteers contribute to the social atmosphere by serving meals and interacting with the residents.</p>","DOROT's Homelessness Prevention Program is a transitional residence in Manhattan that offers seniors safe, temporary housing; meals; counseling, and assistance in finding a permanent home. Volunteers contribute to the social atmosphere by serving meals and interacting with the residents.",,DOROT,/opportunities/1715,ongoing,171 West 85th Street,,New York,NY,10024,US,http://www.newyorkcares.org,MANHATTAN,40.7866,-73.9745,POINT(-73.974513 40.786591),107,6,169,1032139,1012160003,Upper West Side
<p>Volunteers must be 18 years of age or older.</p>,Health and Wellness Projects with New York Cares,"<p>On New York Cares' Health and Wellness projects, volunteers bring much-needed companionship to long-term hospital residents and individuals living with devastating illnesses, such as HIV/AIDS.</p> <p>Search our projects at www.newyorkcares.org/search/project Before you can volunteer on a New York Cares project, you must attend a one-hour orientation. After that, you can choose from hundreds of flexibly scheduled volunteer projects every month. Learn more about volunteering with New York Cares at www.newyorkcares.org.</p>","On New York Cares' Health and Wellness projects, volunteers bring much-needed companionship to long-term hospital residents and individuals living with devastating illnesses, such as HIV/AIDS.",,New York Cares,/opportunities/1784,ongoing,"65 Broadway, 19th Floor",,New York,NY,10006,US,http://www.dorotusa.org/site/PageServer?pagename=homepage_DOROT,MANHATTAN,40.7071,-74.0122,POINT(-74.012234 40.707113),101,1,13,1000809,1000210004,Battery Park City-Lower Manhattan
<p>Volunteers must be 18 years of age or older.</p>,Hunger Projects with New York Cares,"<p>Volunteers on New York Cares' Hunger projects do more than just serve a meal -- they provide a warm smile, friendly conversation, and the reassurance that someone cares. These projects serve hundreds of men, women, and children at homeless shelters, churches, and senior centers each day.</p> <p>Search our projects at www.newyorkcares.org/search/project Before you can volunteer on a New York Cares project, you must attend a one-hour orientation. After that, you can choose from hundreds of flexibly scheduled volunteer projects every month. Learn more about volunteering with New York Cares at www.newyorkcares.org.</p>","Volunteers on New York Cares' Hunger projects do more than just serve a meal -- they provide a warm smile, friendly conversation, and the reassurance that someone cares. These projects serve hundreds of men, women, and children at homeless shelters, churches, and senior centers each day.",Communities and Neighbors,New York Cares,/opportunities/1786,ongoing,"65 Broadway, 19th Floor",,New York,NY,10006,US,http://www.newyorkcares.org,MANHATTAN,40.7071,-74.0122,POINT(-74.012234 40.707113),101,1,13,1000809,1000210004,Battery Park City-Lower Manhattan
"<p>There will be one day of required volunteer training on Saturday, September 7, 2019. The program begins on&nbsp;Saturday, September 14, 2019.</p> <p>References required. &nbsp;Background check and Project HAPPY medical form will be required because volunteers will be working with children.</p>",Physical Therapist Volunteers,<p>A physical therapist is needed to assist in our weight training gym.</p>,A physical therapist is needed to assist in our weight training gym.,,Project HAPPY,/opportunities/2870,ongoing,425 East 25th Street,,Manhattan,NY,10010,US,http://www.newyorkcares.org,MANHATTAN,40.7379,-73.9769,POINT(-73.97688 40.737878),106,4,62,1069579,1009620100,Murray Hill-Kips Bay
<p>Prior successful experience writing and developing grants.&nbsp;</p>,P/T Grant Writer,<p>Search and develop proposals for grants that are a match for the organization. Prepare a database of available grant opportunities and deadlines.</p>,Search and develop proposals for grants that are a match for the organization. Prepare a database of available grant opportunities and deadlines.,,Rise Up & Walk Youth Outreach Center Inc,/opportunities/2889,ongoing,432 Monroe Street,,Brooklyn,NY,11221,US,http://www.project-happy.org,BROOKLYN,40.6866,-73.9407,POINT(-73.940747 40.686592),303,36,277,3051540,3018210001,Stuyvesant Heights
,Internship Non-Profit Theater & Community Center!,"<p>Internships NYC! Non-Profit Management Internship/Leadership Training Program for theater/community center in NYC! This is an intensive Leadership Training Program in non-profit business management. Interns receive hands-on training in an award-winning theater conservatory and community service organization in New York City. We are looking for individuals with the ability to lead, manage teams, work independently, communicate effectively on the phone, in person and in writing and interact in a fast-paced business environment. We are looking for leaders who can put their thoughts and insights into action; positive, enthusiastic individuals who want to make a difference in the world and are committed to upholding the legacy and tradition of theater in the belief that theater can change a life and make the world a better place for everyone. The interns' primary responsibility is to manage the daily administrative operations of the organization and to take a leadership role in programming initiatives. There will be opportunities to work closely with the senior staff: in administrating over workshops for actors and community programs that serve Youth-at-Risk and homeless children. Under ATW supervision, interns will be accountable for projects in the management of ATW's studio rental business, administration, team management, marketing, development, sales, fund-raising, video production, event planning, and graphic design. For international applicants, English proficiency is required. Part-time Internships are 3 to 4 months for 25 to 30 hours per week. This is a non-paid training program. To be considered, please apply ASAP. Application instructions: Go to http://www.actorstheatreworkshop.com to find out more and fill out an online application for this position! Please, be alert while filling it out, only fully completed applications will be considered.</p>",Internships NYC! Non-Profit Management Internship/Leadership Training Program for theater/community center in NYC! This is an intensive Leadership Training Program in non-profit business management. Interns receive hands-on training in an award-winning theater conservatory and community servi...,,"The Actors Theatre Workshop, Inc.",/opportunities/2930,ongoing,145 W. 28th St. Floor 3,,New York,NY,10001,US,http://www.riseupnwalk.org,MANHATTAN,40.7466,-73.9918,POINT(-73.991829 40.746602),105,3,95,1015100,1008040011,Midtown-Midtown South
"<p>We seek people who are able to dedicate several days a month&nbsp;to this task, especially on Saturdays. Those without skills are needed and as fully appreciated as those with carpentry, metalworking, cooking, rigging or electrical skills.</p>","Tall ship ""WAVERTREE"" restoration opportunities","<p>Immediate opportunities are now available for volunteers to learn all aspects of preserving and restoring our 1885 fully-rigged ship <em>Wavertree</em>!</p> <p> </p> <p>Volunteer opportunities are open for entry-level and skilled individuals for regular maintenance and care of the ship (training provided) as well as aloft work (climbing into the rigging).</p> <p> </p> <p>You will learn to work from below her decks to up aloft on her 165' tall masts. Volunteering aboard <em>Wavertree </em>presents a rare opportunity to learn traditional maritime skills and methods familiar to 19th and 20th century sailors. Prior tall ship and sailing experience is a plus, but volunteers from all walks of life to commit to active and lasting participation in the ship’s operation are welcome. Experienced hands will have the opportunity to help us train and mentor newcomers in order to support this exciting program. </p> <p> </p> <p>Together we can care for and improve this unique ship so she may continue to tell her incredible story for generations to come.</p> <p> </p> <p> </p> <p>The South Street Seaport Museum preserves and interprets the origins and growth of New York City as a world port, a place where goods, labor, and cultures are exchanged through work, commerce, and the interaction of diverse communities.</p>",Immediate opportunities are now available for volunteers to learn all aspects of preserving and restoring our 1885 fully-rigged ship WAVERTREE!,,South Street Seaport Museum,/opportunities/3032,ongoing,12 Fulton Street,,New York,NY,10038,US,http://www.ActorsTheatreWorkshop.com/,MANHATTAN,40.7066,-74.0035,POINT(-74.003495 40.706631),101,1,1502,1085798,1000740001,Battery Park City-Lower Manhattan
"<p>There will be one day of required volunteer training on Saturday, September 7, 2019. The program begins on&nbsp;Saturday, September&nbsp;14, 2019.</p> <p>Application required.</p>",Swim Volunteers,<p>Volunteers are needed to assist children with disabilities in our heated swimming pool. It is not necessary for volunteers to excel at swimming but rather to be comfortable in the water in order to provide one on one assistance. Our lead instructor guides each volunteer through the swim periods. </p>,Volunteers are needed in the heated swimming pool to assist children with disabilities. It is not necessary for volunteers to excel at swimming but rather to be comfortable in the water in order to provide one on one assistance. Our lead instructor guides the volunteers through each swim period.,Health and Well-Being,Project HAPPY,/opportunities/3187,ongoing,425 East 25th Street,,New York,NY,10010,US,http://SOUTHSTREETSEAPORTMUSEUM.ORG,MANHATTAN,40.7379,-73.9769,POINT(-73.97688 40.737878),106,4,62,1069579,1009620100,Murray Hill-Kips Bay
<p>Volunteers must be 18 years of age or older.</p>,Seniors Projects with New York Cares,"<p>Seniors in nursing facilities tend to have few visitors, but with a few hours of your time, you can provide the social interaction that is important to keeping their spirits soaring.</p> <p>On New York Cares' Seniors projects, volunteers connect and engage with elderly adults through reading and discussion, knitting, arts and crafts, singing and dancing, casino games, mock-cocktail parties, and more.</p> <p>Search our projects at www.newyorkcares.org/search/project Before you can volunteer on a New York Cares project, you must attend a one-hour orientation. After that, you can choose from hundreds of flexibly scheduled volunteer projects every month. Learn more about volunteering with New York Cares at www.newyorkcares.org.</p>","Seniors in nursing facilities tend to have few visitors, but with a few hours of your time, you can provide the social interaction that is important to keeping their spirits soaring. On New York Cares' Seniors projects, volunteers connect and engage with elderly adults through reading and discuss...",,New York Cares,/opportunities/3341,ongoing,"65 Broadway, 19th Floor",,New York,NY,10006,US,http://www.project-happy.org,MANHATTAN,40.7071,-74.0122,POINT(-74.012234 40.707113),101,1,13,1000809,1000210004,Battery Park City-Lower Manhattan
"<p>All volunteers must be atleast 18 years of age. Able to work with small and medium size groups. Computer Literate, punctual and attentive to details. High School Diploma or Bachelor&#39;s Degree and early childhood education experience.</p>",Tutors with Teaching Experience Needed!,"<p>Tutors needed to assist students in grades K-5. Volunteers must be professional, flexible and results-oriented. We understand that good chemistry and a trusting and respectful relationship between Teacher and student is an essential element for success. Volunteers will assist with homework help, tutor students in testing grades for nyc test exams.</p>","Public School Teachers needed to help tutor students. Volunteers must be professional, flexible and results-oriented. Tutors are needed at-least 3 days per week for our after-school enrichment program. Primary subject areas are: Math, ELA, Reading, Science and Writing.",,Rise Up & Walk Youth Outreach Center Inc,/opportunities/3536,ongoing,432 Monroe Street,,Brooklyn,NY,11221,US,http://www.newyorkcares.org,BROOKLYN,40.6866,-73.9407,POINT(-73.940747 40.686592),303,36,277,3051540,3018210001,Stuyvesant Heights
<p>Volunteers are required to complete a brief training that will include information on the organizations policies and requirements.</p>,Tutors for After-school Enrichment Program,"<p>Participants will work as tutors and classroom aides for students by providing homework help, academic coaching in reading, writing and math, coordinate organized enrichment activities, escort students from designated local schools. Participants will assist program staff and interns in coordinating organized and fun recreational activities tailored for each student.</p>","Participants will work as tutors and classroom aides for students by providing homework help, academic coaching in reading, writing and math, coordinate organized enrichment activities, escort students from designated meeting area to assigned classrooms.",Education,Rise Up & Walk Youth Outreach Center Inc,/opportunities/3612,ongoing,432 Monroe Street,,Brooklyn,NY,11221,US,http://www.riseupnwalk.org,BROOKLYN,40.6866,-73.9407,POINT(-73.940747 40.686592),303,36,277,3051540,3018210001,Stuyvesant Heights
"<p>Strong English skills, energy, motivation, and commitment to get involved and make a positive difference in the community.&nbsp;</p> <p>Volunteer ESL teachers are required to attend three training sessions during the cycle.</p>",SUMMER 2019 Volunteer ESOL Instructor at Columbia University,"<p>Lead teach or co-teach an ESOL class to adult immigrants this spring at a neighborhood site near the Columbia University campus.</p> <p>Lead Teachers - ESOL teaching experience preferred</p> <p>Co- Teachers - No previous ESOL teaching experience required.</p> <p>Volunteers teach one 2-hour class per week - more as their schedules allow. </p> <p>Classes take place Monday - Thursday 10 a.m. - 12 a.m, 12 p.m. - 2 p.m., 4 p.m. - 6 p.m., and 6 p.m. - 8 p.m. </p> <p>Class levels are from beginners to low advanced (Levels 1-6). </p> <p><strong>Summer Session 2018 - June 10th - August 22nd</strong></p> <p>Strong English skills required, as well as energy, motivation, and commitment to get involved and make a positive difference in the community!</p> <p>**If interested in volunteering, please send your resume to <strong>ciesolteachers@gmail.com</strong> and write ""<strong>Volunteer Recruitment</strong>"" in the subject line.</p>","Teach an ESOL class (English to Speakers of Other Languages) this Summer with Community Impact. Volunteers teach at least one 2-hour class per week. Volunteers can select their preference of the morning, afternoon or evening (Mon-Thur) and class level from beginners to low advanced.",,Community Impact at Columbia University,/opportunities/3810,ongoing,"2980 Broadway, 105 Earl Hall, MC2010",,New York,NY,10027,US,http://www.riseupnwalk.org,MANHATTAN,40.8086,-73.9635,POINT(-73.963465 40.808578),109,7,203,1084466,1019730001,Morningside Heights
<p>The individuals must have experience in rentals and be able to take up leadership positions and work in a team.</p>,Rentals Team Volunteers,"<p>We are seeking experienced individuals to join our rental team. The individual must be familiar with managing a rental space. They will be responsible for marketing, regulating rental tasks, and contributing to running a rental business that provides financial assistance to the organization. </p>","We are seeking experienced individuals to join our rental team. The individual must be familiar with managing a rental space. They will be responsible for marketing, regulating rental tasks, and contributing to running a rental business that provides financial assistance to the organization.",,"The Actors Theatre Workshop, Inc.",/opportunities/3813,ongoing,145 W. 28th St. Floor 3,,New York,NY,10001,US,http://communityimpactatcu.org,MANHATTAN,40.7466,-73.9918,POINT(-73.991829 40.746602),105,3,95,1015100,1008040011,Midtown-Midtown South
